Model Architecture,Validation F1,Test Accuracy,Test F1-Score
1D-CNN+BiLSTM+Attn,0.9963701034013881,0.9964447721480436,0.9962732955822303
1D-CNN+LSTM+Attn,0.9956931602333726,0.9956272941478193,0.9955398306182776
1D-CNN+LSTM,0.9942481843123807,0.9947713465946432,0.9942430567958517
1D-CNN+BiLSTM,0.9939972825078508,0.9942391844454774,0.9939870937103945
GRU+Attn,0.9921955680088238,0.9931171558177184,0.9925672343540692
Bi-LSTM,0.9864919030473156,0.9873531344671166,0.9870813474643111
GRU,0.9862272119297972,0.9864939811178611,0.9863507186552848
LSTM+Attn,0.9833011147783544,0.9838972862936188,0.9835481835954729
Bi-LSTM+Attn,0.9818421815499022,0.9825732925128633,0.9822078809742429
1D-CNN,0.979358948062384,0.9801465048808246,0.9798323653769236
LSTM,0.977591747306217,0.9782711141744274,0.9780298202133539
1D-CNN+Attn,0.9577266151211747,0.9616266209306426,0.9589510707381007
